               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.029044,            0.033533,                   0,             0.89928,             0.91617,             0.94025,             0.47631,            0.034565,           0.0077106,                   0,           0.0046699,           0.0046699,             0.05077
                 135,            0.032793,            0.029601,                   0,             0.87709,             0.94012,             0.93261,             0.48911,            0.031297,           0.0077668,                   0,           0.0046944,           0.0046944,            0.050394
                 136,            0.029315,            0.034129,                   0,             0.91536,             0.91018,             0.95367,              0.5295,            0.028771,            0.007408,                   0,           0.0047186,           0.0047186,            0.050019
                 137,            0.028581,            0.032434,                   0,             0.87129,             0.93413,             0.94198,             0.49494,            0.032017,           0.0076756,                   0,           0.0047426,           0.0047426,            0.049643
                 138,            0.029987,            0.028663,                   0,             0.86805,             0.94544,             0.95064,             0.46698,            0.034273,           0.0075224,                   0,           0.0047665,           0.0047665,            0.049266
                 139,            0.029941,            0.029494,                   0,             0.89472,               0.916,             0.94847,             0.47053,            0.033593,           0.0081334,                   0,           0.0047901,           0.0047901,             0.04889
                 140,            0.031381,            0.034794,                   0,             0.89017,              0.9221,             0.94721,             0.46279,            0.031402,            0.007971,                   0,           0.0048135,           0.0048135,            0.048513
                 141,            0.032688,            0.027973,                   0,             0.90243,             0.88617,             0.92622,             0.47705,            0.032727,           0.0075807,                   0,           0.0048367,           0.0048367,            0.048137
                 142,            0.029578,            0.031878,                   0,             0.87799,             0.86826,             0.94127,              0.5163,            0.029222,           0.0086305,                   0,           0.0048596,           0.0048596,             0.04776
                 143,            0.028866,            0.031976,                   0,             0.85867,              0.9095,             0.93427,             0.53126,            0.031417,           0.0087027,                   0,           0.0048824,           0.0048824,            0.047382
                 144,            0.029412,            0.030425,                   0,             0.90056,             0.92216,             0.93785,             0.45367,            0.034277,           0.0082884,                   0,            0.004905,            0.004905,            0.047005
                 145,            0.030659,            0.032189,                   0,             0.87718,              0.8981,             0.93453,              0.4464,            0.034764,           0.0077388,                   0,           0.0049273,           0.0049273,            0.046627
                 146,            0.029631,            0.032819,                   0,             0.82602,             0.90979,             0.91431,             0.51029,            0.030731,           0.0084648,                   0,           0.0049494,           0.0049494,            0.046249
                 147,            0.030854,            0.030097,                   0,             0.85627,             0.89222,             0.91145,             0.49734,             0.02987,           0.0092426,                   0,           0.0049713,           0.0049713,            0.045871
                 148,            0.029962,            0.031015,                   0,             0.84391,             0.91018,              0.8866,             0.40797,            0.035829,           0.0099786,                   0,            0.004993,            0.004993,            0.045493
                 149,            0.029075,            0.030836,                   0,             0.87952,             0.87424,             0.89912,             0.34629,            0.038404,           0.0089776,                   0,           0.0050145,           0.0050145,            0.045114
                 150,            0.027173,            0.033932,                   0,             0.89874,             0.90419,             0.93769,             0.55975,            0.029713,           0.0078285,                   0,           0.0050357,           0.0050357,            0.044736
                 151,            0.026788,            0.031917,                   0,             0.89591,             0.88024,             0.93158,             0.47674,            0.032766,           0.0085241,                   0,           0.0050568,           0.0050568,            0.044357
                 152,            0.028779,            0.029478,                   0,             0.86093,             0.96382,             0.94136,              0.5345,            0.030085,            0.007619,                   0,           0.0050776,           0.0050776,            0.043978
                 153,            0.027174,            0.030958,                   0,             0.87064,             0.92814,             0.93931,             0.47143,            0.034085,            0.007883,                   0,           0.0050982,           0.0050982,            0.043598
                 154,            0.029182,            0.030383,                   0,             0.88438,             0.91607,             0.93859,             0.51289,            0.031757,           0.0080018,                   0,           0.0051186,           0.0051186,            0.043219
                 155,            0.029369,            0.032465,                   0,             0.82308,             0.89222,             0.90504,              0.5093,            0.029016,           0.0084563,                   0,           0.0051387,           0.0051387,            0.042839
                 156,             0.02782,            0.025838,                   0,             0.88565,              0.9276,             0.92844,             0.48389,            0.032076,            0.007705,                   0,           0.0051586,           0.0051586,            0.042459
                 157,            0.026685,            0.033836,                   0,             0.89696,              0.8861,             0.93835,             0.49078,             0.03031,           0.0087747,                   0,           0.0051784,           0.0051784,            0.042078
                 158,            0.030558,            0.031212,                   0,              0.9072,             0.88024,             0.93516,             0.56582,            0.032285,           0.0080527,                   0,           0.0051978,           0.0051978,            0.041698
                 159,            0.026918,            0.028098,                   0,             0.85341,             0.94611,              0.9459,             0.55762,            0.032002,           0.0077237,                   0,           0.0052171,           0.0052171,            0.041317
                 160,            0.026046,            0.030941,                   0,             0.86241,             0.94012,             0.93655,             0.60326,            0.030657,           0.0082019,                   0,           0.0052361,           0.0052361,            0.040936
                 161,            0.026873,            0.030302,                   0,             0.86248,             0.90419,              0.9285,             0.61487,            0.027531,           0.0076334,                   0,            0.005255,            0.005255,            0.040555
                 162,            0.027008,            0.030523,                   0,             0.83039,              0.8503,             0.87283,             0.54339,            0.031979,           0.0095438,                   0,           0.0052736,           0.0052736,            0.040174
                 163,            0.027148,            0.032469,                   0,             0.85774,             0.97605,              0.9483,             0.57435,            0.027996,           0.0075263,                   0,           0.0052919,           0.0052919,            0.039792
